DOSE	REP	Ano	Prof	MACRO	MICRO	PT	DS	DMP	IEA	DMG	AGRI
12.5	3	2019	0.00-0.05	0.12	0.26	0.38	1.48	1.0	69.5	0.6	11.9
12.5	3	2019	0.05-0.10	0.18	1.64	1.82	1.52	1.0	75.8	0.6	12.4
12.5	3	2019	0.10-0.20	0.07	0.26	0.33	1.55	0.5	61.2	0.4	2.3
7.5	3	2019	0.00-0.05	0.09	0.28	0.37	1.48	1.0	71.0	0.6	11.7
7.5	3	2019	0.05-0.10	0.05	0.28	0.33	1.58	0.7	65.4	0.4	4.7
7.5	3	2019	0.10-0.20	0.18	0.24	0.42	1.38	0.7	70.0	0.5	5.2
10	3	2019	0.00-0.05	0.07	0.28	0.35	1.62	1.0	73.4	0.6	10.9
10	3	2019	0.05-0.10	0.08	0.27	0.35	1.57	1.1	74.2	0.6	13.6
10	3	2019	0.10-0.20	0.06	0.27	0.33	1.64	0.6	65.0	0.4	2.7
5	3	2019	0.00-0.05	0.14	0.26	0.40	1.50	1.0	70.3	0.5	11.7
5	3	2019	0.05-0.10	0.18	0.25	0.44	1.41	0.7	69.3	0.5	3.6
5	3	2019	0.10-0.20	0.10	0.29	0.40	1.66	0.6	72.3	0.4	3.3
0	3	2019	0.00-0.05	0.15	0.27	0.41	1.44	1.0	68.4	0.5	11.8
0	3	2019	0.05-0.10	0.17	0.21	0.38	1.55	1.3	78.1	0.7	19.3
0	3	2019	0.10-0.20	0.12	0.25	0.37	1.57	0.7	67.4	0.4	5.9
10	4	2019	0.00-0.05	0.18	0.23	0.41	1.35	1.5	78.5	0.8	23.6
10	4	2019	0.05-0.10	0.14	0.21	0.35	1.50	0.9	66.2	0.5	9.8
10	4	2019	0.10-0.20	0.13	0.21	0.34	1.55	0.7	65.1	0.4	7.7
Ad. Mineral	4	2019	0.00-0.05	0.13	0.19	0.32	1.54	1.6	79.3	0.9	28.8
Ad. Mineral	4	2019	0.05-0.10	0.19	0.23	0.42	1.38	0.8	69.4	0.5	7.3
Ad. Mineral	4	2019	0.10-0.20	0.14	0.21	0.35	1.51	0.5	55.9	0.4	3.4
12.5	4	2019	0.00-0.05	0.10	0.26	0.35	1.53	1.2	70.7	0.6	18.2
12.5	4	2019	0.05-0.10	0.13	0.24	0.38	1.52	0.6	69.5	0.4	2.9
12.5	4	2019	0.10-0.20	0.14	0.23	0.38	1.53	0.6	62.5	0.4	3.5
5	4	2019	0.00-0.05	0.19	0.24	0.43	1.34	1.0	62.7	0.5	12.2
5	4	2019	0.05-0.10	0.15	0.22	0.37	1.49	0.7	63.0	0.4	7.9
5	4	2019	0.10-0.20	0.07	0.25	0.33	1.64	0.6	66.5	0.4	3.5
7.5	4	2019	0.00-0.05	0.10	0.26	0.36	1.54	1.4	76.2	0.7	22.8
7.5	4	2019	0.05-0.10	0.10	0.29	0.39	1.75	1.0	68.3	0.5	13.3
7.5	4	2019	0.10-0.20	0.16	0.26	0.42	1.88	0.7	66.3	0.4	4.4
0	4	2019	0.00-0.05	0.08	0.27	0.35	1.58	1.1	70.7	0.6	16.8
0	4	2019	0.05-0.10	0.19	0.22	0.41	1.40	0.7	59.5	0.4	4.9
0	4	2019	0.10-0.20	0.15	0.23	0.39	1.46	0.8	66.6	0.4	8.3
